City,State,Country,Latitude,Longitude,Timezone,Timestamp (OpenWeatherMap),Sunrise,Sunset,Temperature,Feels Like (Day),Feels Like (Night),Pressure,Humidity,Dew Point,UV Index,Cloud Cover,Visibility,Wind Speed,Wind Direction,Wind Gust,Weather Description,Max Temperature,Min Temperature,AQI,PM2.5,PM10,O3,CO
Tura,Meghalaya,India,25.5198,90.2201,19800,2024-09-20 08:51:57,23:41,11:52,35.1,42.4,42.4,994.0,54,24.3,7,0,16,1.6,286,N/A,Haze,31.4,25.3,3,40.5,44.29,55.08,473.98
Jowai,Meghalaya,India,25.4411,92.1955,19800,2024-09-20 08:51:57,23:41,11:52,29.3,31.0,31.0,858.0,57,19.8,7,0,6,0.6,92,N/A,Haze,28.5,21.2,1,7.66,9.34,30.76,433.92
Nongpoh,Meghalaya,India,25.9,91.8833,19800,2024-09-20 08:51:58,23:41,11:52,35.2,42.7,42.7,982.0,54,24.4,7,0,16,1.9,300,N/A,Haze,32.4,24.5,2,12.02,13.75,74.39,423.91
Nongstoin,Meghalaya,India,25.5167,91.2667,19800,2024-09-20 08:50:31,23:41,11:52,31.3,36.5,36.5,926.0,64,23.6,2,99,16,2.3,331,N/A,Haze,27.8,19.2,2,13.36,16.46,45.06,423.91
Baghmara,Meghalaya,India,23.795,86.2085,19800,2024-09-20 08:51:58,00:03,12:13,33.4,37.6,37.6,970.0,52,22.1,8,0,16,1.2,7,N/A,Haze,34.8,25.9,3,38.71,42.63,111.58,353.81
Mairang,Meghalaya,India,25.5667,91.6333,19800,2024-09-20 08:51:59,23:41,11:52,26.1,26.5,26.5,836.0,68,19.6,7,0,16,1.9,274,N/A,Haze,26.2,18.1,2,12.04,16.06,41.49,433.92
Resubelpara,Meghalaya,India,25.8995,90.6122,19800,2024-09-20 08:51:59,23:41,11:52,34.4,43.1,43.1,990.0,60,25.3,7,0,16,2.4,302,N/A,Haze,34.7,26.4,2,18.49,20.37,86.55,427.25
Mahendraganj,Meghalaya,India,25.3159,89.8487,19800,2024-09-20 08:51:59,23:46,11:56,36.5,43.8,43.8,998.0,49,23.9,7,0,16,2.8,297,N/A,Haze,38.3,29.1,3,41.58,45.32,101.57,487.33
Jowai,Meghalaya,India,25.4411,92.1955,19800,2024-09-20 08:51:57,23:41,11:52,29.3,31.0,31.0,858.0,57,19.8,7,0,6,0.6,92,N/A,Haze,28.5,21.2,1,7.66,9.34,30.76,433.92
Pynursla,Meghalaya,India,25.3091,91.9005,19800,2024-09-20 08:52:00,23:41,11:52,32.6,38.7,38.7,934.0,61,23.9,7,0,16,2.3,206,N/A,Haze,28.6,20.9,2,15.47,19.84,54.36,520.71
Umroi,Meghalaya,India,25.7139,92.0397,19800,2024-09-20 08:52:00,23:41,11:52,30.6,34.8,34.8,908.0,64,22.8,7,0,16,2.8,322,N/A,Haze,30.9,20.5,1,7.12,8.72,36.84,387.19
Shillong,Meghalaya,India,25.5689,91.8831,19800,2024-09-20 08:51:57,23:41,11:52,26.2,26.6,26.6,836.0,68,19.7,7,0,16,0.1,259,N/A,Haze,27.6,19.3,2,12.72,15.66,36.48,507.36
Nongstoin,Meghalaya,India,25.5167,91.2667,19800,2024-09-20 08:50:31,23:41,11:52,31.3,36.5,36.5,926.0,64,23.6,2,99,16,2.3,331,N/A,Haze,27.8,19.2,2,13.36,16.46,45.06,423.91
Aizawl,Mizoram,India,23.7333,92.7167,19800,2024-09-20 08:52:01,23:33,11:43,36.9,40.1,40.1,947.0,38,20.0,7,0,16,2.0,318,N/A,Clear sky,34.7,23.9,1,7.11,7.68,49.35,323.77
Lunglei,Mizoram,India,22.8833,92.7333,19800,2024-09-20 08:52:01,23:41,11:51,37.7,43.5,43.5,976.0,42,22.5,7,0,16,2.9,252,N/A,Clear sky,33.4,24.0,1,4.49,4.77,45.42,313.76
Serchhip,Mizoram,India,23.3,92.8333,19800,2024-09-20 08:52:01,23:33,11:43,36.8,41.1,41.1,956.0,41,21.4,7,0,16,3.0,275,N/A,Clear sky,34.3,23.4,1,4.33,5.03,35.05,283.72
Champhai,Mizoram,India,23.4699,93.3322,19800,2024-09-20 08:52:02,23:33,11:43,28.9,31.4,31.4,902.0,64,21.3,7,0,16,1.0,322,N/A,Clear sky,31.2,20.4,1,1.71,1.91,37.19,230.31
Kolasib,Mizoram,India,24.2333,92.7,19800,2024-09-20 08:52:02,23:33,11:43,38.8,44.7,44.7,983.0,39,22.2,7,0,16,1.7,333,N/A,Clear sky,34.3,25.5,2,8.94,10.14,60.08,360.49
Mamit,Mizoram,India,23.9333,92.4833,19800,2024-09-20 08:52:02,23:43,11:53,38.4,43.7,43.7,978.0,39,22.0,7,0,16,1.9,330,N/A,Clear sky,34.2,25.1,2,10.8,12.4,47.21,353.81
Lawngtlai,Mizoram,India,22.528,92.898,19800,2024-09-20 08:52:03,23:41,11:51,35.2,41.0,41.0,957.0,50,23.0,7,0,16,1.0,259,N/A,Clear sky,32.8,23.9,1,2.37,2.7,28.61,287.06
Saiha,Mizoram,India,22.4833,92.9667,19800,2024-09-20 08:52:03,23:41,11:51,35.2,39.9,39.9,948.0,47,22.0,7,0,16,2.1,251,N/A,Clear sky,33.4,22.5,1,2.37,2.7,28.61,287.06
North Vanlaiphai,Mizoram,India,23.1333,93.0667,19800,2024-09-20 08:52:04,23:33,11:43,34.9,38.8,38.8,937.0,46,21.3,7,0,16,3.0,245,N/A,Clear sky,33.6,22.5,1,2.75,2.91,47.21,257.02
Khawhai,Mizoram,India,23.3667,93.1167,19800,2024-09-20 08:52:04,23:33,11:43,34.5,35.9,35.9,908.0,39,18.3,7,0,16,1.2,281,N/A,Clear sky,33.4,22.3,1,2.35,2.74,32.19,243.66
Sairang,Mizoram,India,23.8,92.6667,19800,2024-09-20 08:52:04,23:33,11:43,36.9,40.1,40.1,947.0,38,20.0,7,0,16,2.0,318,N/A,Clear sky,33.0,24.0,1,7.11,7.68,49.35,323.77
Thenzawl,Mizoram,India,23.3167,92.75,19800,2024-09-20 08:52:05,23:33,11:43,36.8,41.1,41.1,956.0,41,21.4,7,0,16,3.0,275,N/A,Clear sky,34.3,23.4,1,5.9,6.23,52.93,303.75
Khaddum,Mizoram,India,25.1547,92.4912,19800,2024-09-20 08:52:05,23:41,11:52,36.2,47.0,47.0,994.0,57,26.1,7,0,16,0.9,250,N/A,Haze,33.9,26.1,2,8.08,8.81,77.96,390.53
Phura,Mizoram,India,22.2338,92.9085,19800,2024-09-20 08:52:05,23:41,11:51,35.8,41.6,41.6,972.0,48,22.9,7,0,16,2.5,288,N/A,Clear sky,33.4,24.5,1,2.18,2.35,35.05,293.73
Kohima,Nagaland,India,25.6667,94.1167,19800,2024-09-20 08:52:06,23:32,11:43,29.9,33.3,33.3,890.0,64,22.2,6,0,16,1.8,337,N/A,Clear sky,27.6,19.5,1,3.58,4.02,45.06,293.73
Dimapur,Nagaland,India,25.9,93.7333,19800,2024-09-20 08:52:06,23:32,11:43,35.1,41.5,41.5,959.0,52,23.6,6,0,16,1.0,182,N/A,Clear sky,35.2,26.8,2,6.59,7.13,65.09,367.17
Mokokchung,Nagaland,India,26.3333,94.5333,19800,2024-09-20 08:52:06,23:31,11:42,33.4,39.3,39.3,943.0,57,23.6,6,0,16,1.7,307,N/A,Haze,30.9,21.5,2,13.06,14.49,52.93,400.54
Tuensang,Nagaland,India,26.2833,94.8333,19800,2024-09-20 08:52:07,23:27,11:38,33.4,39.3,39.3,943.0,57,23.6,6,0,16,1.7,307,N/A,Clear sky,30.0,20.3,1,4.6,5.46,45.78,320.44
Wokha,Nagaland,India,26.1,94.2667,19800,2024-09-20 08:52:07,23:31,11:42,32.3,35.9,35.9,908.0,54,21.8,6,0,16,2.1,306,N/A,Haze,30.2,22.9,2,8.85,9.53,68.67,393.87
Zunheboto,Nagaland,India,25.9667,94.5167,19800,2024-09-20 08:52:07,23:32,11:43,32.3,35.9,35.9,908.0,54,21.8,6,0,16,2.1,306,N/A,Clear sky,29.2,20.6,1,4.22,4.75,43.99,313.76
Mon,Nagaland,India,26.75,95.1,19800,2024-09-20 08:52:08,23:27,11:38,34.0,41.2,41.2,966.0,58,24.3,6,0,16,1.8,325,N/A,Clear sky,28.4,22.0,1,8.27,10.57,48.64,357.15
Phek,Nagaland,India,25.6667,94.5,19800,2024-09-20 08:49:12,23:32,11:43,32.3,35.9,35.9,908.0,54,21.8,6,0,16,2.1,306,N/A,Clear sky,32.1,21.5,2,7.6,9.87,77.25,357.15
Kiphire,Nagaland,India,25.8867,94.7863,19800,2024-09-20 08:52:08,23:32,11:43,29.6,31.6,31.6,868.0,58,20.3,6,0,16,1.9,312,N/A,Clear sky,27.2,19.7,2,11.64,14.23,65.09,390.53
Longleng,Nagaland,India,26.4889,94.8132,19800,2024-09-20 08:52:08,23:27,11:38,32.6,36.2,36.2,918.0,53,21.7,6,0,16,1.6,331,N/A,Clear sky,31.1,23.7,1,8.1,9.38,55.08,360.49
Tseminyu,Nagaland,India,25.923,94.2224,19800,2024-09-20 08:52:09,23:32,11:43,32.6,40.8,40.8,960.0,67,25.6,6,0,16,1.3,286,N/A,Clear sky,31.7,22.2,1,5.46,6.8,39.34,323.77
Jalukie,Nagaland,India,25.6568,93.6734,19800,2024-09-20 08:52:09,23:32,11:43,36.5,42.0,42.0,974.0,45,22.5,6,0,16,1.7,50,N/A,Clear sky,32.6,25.8,1,5.21,5.8,59.37,360.49
Naginimora,Nagaland,India,26.8097,94.8092,19800,2024-09-20 08:52:10,23:27,11:38,34.9,43.2,43.2,990.0,57,25.0,6,0,16,1.9,234,N/A,Clear sky,34.3,26.8,2,11.99,13.3,87.98,417.23
Changtongya,Nagaland,India,26.5349,94.6797,19800,2024-09-20 08:52:10,23:31,11:42,33.8,38.8,38.8,944.0,53,22.9,6,0,16,1.7,322,N/A,Haze,31.6,24.0,2,11.68,14.24,46.49,380.52
Tuli,Nagaland,India,7.2333,125.4167,28800,2024-09-20 08:52:10,21:26,09:34,24.6,25.3,25.3,982.0,87,22.1,3,0,16,0.2,279,N/A,Clear sky,30.8,23.5,1,2.23,2.91,24.68,253.68
Tening,Nagaland,India,-7.1772,110.0366,25200,2024-09-20 08:52:11,22:28,10:34,26.2,26.0,26.0,884.0,46,13.5,5,0,16,0.7,145,N/A,Clear sky,31.7,16.2,5,53.46,60.13,200.27,473.98
Bhubaneswar,Odisha,India,20.2333,85.8333,19800,2024-09-20 08:49:55,00:05,12:14,34.0,41.8,41.8,998.3,59,24.9,8,0,16,2.1,80,N/A,Haze,33.7,26.9,5,110.18,116.03,143.05,393.87
Cuttack,Odisha,India,20.465,85.8793,19800,2024-09-20 08:52:11,00:05,12:14,34.0,41.8,41.8,998.3,59,24.9,8,0,16,2.1,80,N/A,Haze,33.3,26.8,5,99.3,106.81,118.73,360.49
Rourkela,Odisha,India,22.2309,84.8679,19800,2024-09-20 08:52:12,00:12,12:22,33.2,38.5,38.5,974.0,56,23.1,8,0,16,2.2,68,N/A,Clear sky,32.2,25.1,3,25.8,28.09,82.97,330.45
Sambalpur,Odisha,India,21.45,83.9667,19800,2024-09-20 08:52:12,00:12,12:22,31.4,36.7,36.7,978.0,64,23.7,8,0,16,0.9,76,N/A,Clear sky,32.4,25.6,5,123.6,135.14,155.93,620.84
Puri,Odisha,India,19.8,85.85,19800,2024-09-20 08:52:12,00:05,12:14,29.2,34.1,34.1,998.0,75,24.2,8,0,16,5.6,186,N/A,Haze,29.8,29.1,3,49.05,51.46,104.43,367.17
Balasore,Odisha,India,21.4942,86.9317,19800,2024-09-20 08:52:13,00:03,12:13,34.8,40.8,40.8,995.0,52,23.3,8,0,16,1.9,47,N/A,Haze,31.2,28.3,3,32.48,35.17,103.0,383.85
Baripada,Odisha,India,21.935,86.7214,19800,2024-09-20 08:52:13,00:03,12:13,31.8,36.2,36.2,960.0,59,22.7,8,0,16,1.9,67,N/A,Haze,33.5,26.4,4,64.11,67.44,141.62,433.92
Bhadrak,Odisha,India,21.0633,86.5054,19800,2024-09-20 08:52:13,00:05,12:14,33.4,40.4,40.4,998.0,60,24.5,8,0,16,1.9,95,N/A,Haze,33.8,26.3,2,21.87,24.22,82.97,340.46
Jeypore,Odisha,India,18.85,82.5833,19800,2024-09-20 08:52:13,00:15,12:25,28.9,33.1,33.1,946.0,74,23.6,9,0,13,1.3,215,N/A,Clear sky,27.3,22.0,2,9.29,10.0,90.12,307.08
Angul,Odisha,India,20.85,85.1,19800,2024-09-20 08:52:14,00:05,12:14,32.6,37.4,37.4,972.0,57,22.8,8,0,16,1.9,84,N/A,Haze,33.1,25.5,3,47.65,50.64,68.67,320.44
Dhenkanal,Odisha,India,20.6667,85.6,19800,2024-09-20 08:52:14,00:05,12:14,33.9,39.1,39.1,986.0,53,23.0,8,0,16,2.7,84,N/A,Haze,33.1,26.7,3,37.84,41.97,92.98,330.45
Jharsuguda,Odisha,India,21.85,84.0333,19800,2024-09-20 08:52:14,00:12,12:22,35.0,46.6,46.6,989.9,63,26.9,6,39,16,1.54,60,N/A,Few clouds,32.3,25.7,4,52.36,55.43,127.32,337.12
Balangir,Odisha,India,20.7167,83.4833,19800,2024-09-20 08:52:15,00:12,12:22,31.4,37.3,37.3,976.0,66,24.2,9,0,16,2.4,48,N/A,Clear sky,32.0,26.0,3,38.92,40.43,92.98,417.23
Rayagada,Odisha,India,19.1667,83.4167,19800,2024-09-20 08:52:15,00:15,12:25,27.9,30.6,30.6,930.0,72,22.2,9,0,16,2.3,109,N/A,Clear sky,30.5,23.5,2,9.15,9.51,98.71,380.52
Kendrapara,Odisha,India,20.5042,86.416,19800,2024-09-20 08:52:15,00:05,12:14,32.9,40.2,40.2,1000.0,63,24.7,8,0,16,2.6,100,N/A,Haze,33.8,26.5,4,55.8,59.73,133.04,383.85
Phulbani,Odisha,India,20.4667,84.2333,19800,2024-09-20 08:52:16,00:12,12:22,28.8,33.6,33.6,950.0,78,24.4,9,0,14,1.9,77,N/A,Clear sky,29.0,22.6,3,23.47,24.63,101.57,347.14
Jagatsinghpur,Odisha,India,20.2594,86.1661,19800,2024-09-20 08:52:16,00:05,12:14,33.2,40.3,40.3,1000.0,61,24.5,8,0,16,3.1,108,N/A,Haze,33.8,26.7,5,80.83,86.18,120.16,387.19
Malkangiri,Odisha,India,18.35,81.9,19800,2024-09-20 08:52:16,00:21,12:30,31.1,36.8,36.8,980.0,67,24.2,9,0,12,0.6,118,N/A,Clear sky,30.2,25.0,2,8.32,9.01,69.38,297.07
Amritsar,Punjab,India,31.6331,74.8656,19800,2024-09-20 08:52:17,00:48,13:00,34.0,35.7,35.7,981.2,41,18.9,8,0,16,2.1,260,N/A,Clear sky,35.3,24.1,5,115.0,133.06,240.33,761.03
Ludhiana,Punjab,India,30.9,75.85,19800,2024-09-20 08:52:17,00:48,13:00,35.7,37.8,37.8,978.0,38,18.9,8,0,16,1.5,37,N/A,Clear sky,35.3,24.3,5,107.71,120.51,171.66,694.28
Jalandhar,Punjab,India,31.3256,75.5792,19800,2024-09-20 08:52:17,00:48,13:00,36.7,38.4,38.4,978.0,34,18.4,8,0,16,0.6,274,N/A,Clear sky,35.6,23.4,5,96.97,111.51,173.09,654.22
Patiala,Punjab,India,30.3267,76.4003,19800,2024-09-20 08:52:18,00:39,12:50,34.7,36.3,36.3,976.0,39,18.5,8,0,16,1.3,123,N/A,Clear sky,34.2,24.5,4,59.99,64.21,153.07,520.71
Bathinda,Punjab,India,30.2,74.95,19800,2024-09-20 08:52:18,00:49,13:01,34.4,35.5,35.5,980.0,38,18.0,8,0,16,1.4,113,N/A,Clear sky,34.8,25.2,4,58.15,66.27,137.33,514.03
Hoshiarpur,Punjab,India,31.5322,75.9172,19800,2024-09-20 08:52:18,00:48,13:00,34.1,36.3,36.3,974.0,43,19.8,8,0,16,0.5,355,N/A,Clear sky,34.2,21.9,5,148.74,166.61,178.81,827.79
Mohali,Punjab,India,30.68,76.7221,19800,2024-09-20 08:52:18,00:39,12:50,34.3,36.7,36.7,972.0,43,19.7,8,0,16,0.3,133,N/A,Clear sky,34.4,25.3,5,85.81,106.37,197.41,761.03
Pathankot,Punjab,India,32.2833,75.65,19800,2024-09-20 08:52:19,00:48,13:00,32.6,34.6,34.6,970.0,47,19.8,8,0,16,0.4,258,N/A,Clear sky,34.6,20.6,5,113.27,130.34,160.22,720.98
Moga,Punjab,India,30.8,75.1667,19800,2024-09-20 08:52:19,00:48,13:00,36.7,38.1,38.1,979.0,33,17.5,8,0,16,1.8,266,N/A,Clear sky,35.4,23.4,5,92.16,105.9,168.8,654.22
Phagwara,Punjab,India,31.2178,75.7694,19800,2024-09-20 08:52:19,00:48,13:00,35.9,37.8,37.8,977.0,37,18.9,8,0,16,0.5,41,N/A,Clear sky,35.5,23.3,5,113.0,127.32,185.97,741.01
Batala,Punjab,India,31.8186,75.2028,19800,2024-09-20 08:52:20,00:48,13:00,35.2,36.6,36.6,977.0,37,18.1,8,0,16,1.0,325,N/A,Clear sky,34.7,23.3,5,132.23,153.25,203.13,801.09
Malerkotla,Punjab,India,30.5331,75.8808,19800,2024-09-20 08:52:20,00:48,13:00,34.7,36.0,36.0,976.0,38,18.3,8,0,16,2.5,36,N/A,Clear sky,34.4,23.9,5,92.75,99.93,158.79,607.49
Firozpur,Punjab,India,30.9167,74.6,19800,2024-09-20 08:52:20,00:49,13:01,37.3,38.5,38.5,981.0,31,17.4,8,0,16,1.2,163,N/A,Clear sky,35.6,24.1,4,46.65,54.44,147.34,460.63
Rajpura,Punjab,India,30.4831,76.595,19800,2024-09-20 08:52:21,00:39,12:50,34.8,36.5,36.5,974.0,39,18.7,8,0,16,1.5,55,N/A,Clear sky,34.5,24.8,4,46.52,50.39,150.2,480.65
Barnala,Punjab,India,30.3833,75.55,19800,2024-09-20 08:52:21,00:48,13:00,35.9,37.0,37.0,978.0,34,17.7,8,0,16,1.8,296,N/A,Clear sky,34.9,23.6,5,77.08,84.14,133.04,560.76
Sangrur,Punjab,India,30.2333,75.8333,19800,2024-09-20 08:52:21,00:48,13:00,35.1,36.1,36.1,978.0,36,17.8,8,0,16,2.1,39,N/A,Clear sky,34.4,24.2,4,58.26,61.52,140.19,507.36
Faridkot,Punjab,India,30.6667,74.75,19800,2024-09-20 08:52:21,00:49,13:01,36.2,37.5,37.5,982.0,34,17.7,8,0,16,1.7,206,N/A,Clear sky,34.7,23.9,3,45.83,53.0,134.47,460.63
Fatehgarh Sahib,Punjab,India,30.6467,76.3888,19800,2024-09-20 08:52:22,00:48,13:00,34.2,36.2,36.2,974.0,42,19.4,8,0,16,1.8,28,N/A,Clear sky,34.6,24.2,5,80.04,84.61,163.08,554.09
Kapurthala,Punjab,India,31.3794,75.3847,19800,2024-09-20 08:52:22,00:48,13:00,36.8,37.9,37.9,978.0,32,17.5,8,0,16,1.6,321,N/A,Clear sky,35.7,23.5,5,81.73,94.68,177.38,580.79
Jaipur,Rajasthan,India,26.9167,75.8167,19800,2024-09-20 08:52:22,00:44,12:55,30.0,36.1,36.1,964.7,74,24.9,9,0,16,1.0,0,N/A,Haze,31.2,23.8,4,52.71,77.62,144.48,534.06
Udaipur,Rajasthan,India,24.5712,73.6918,19800,2024-09-20 08:52:22,00:52,13:02,31.0,34.4,34.4,962.4,58,21.8,9,0,16,1.03,320,N/A,Clear sky,31.4,23.7,3,25.69,43.35,104.43,323.77
Kota,Rajasthan,India,25.1833,75.8333,19800,2024-09-20 08:52:23,00:44,12:55,30.9,33.4,33.4,961.0,55,20.8,9,0,16,1.5,295,N/A,Haze,33.0,25.3,3,30.02,65.81,104.43,300.41
Jodhpur,Rajasthan,India,26.2867,73.03,19800,2024-09-20 08:52:23,00:55,13:06,34.7,36.6,36.6,980.0,40,19.2,9,0,16,0.4,14,N/A,Clear sky,32.9,25.6,3,26.85,41.04,131.61,417.23
Ajmer,Rajasthan,India,26.45,74.6333,19800,2024-09-20 08:52:24,00:44,12:55,30.8,33.4,33.4,952.0,56,20.9,9,0,16,2.7,317,N/A,Haze,31.6,23.3,3,35.95,58.49,110.15,370.5
Bikaner,Rajasthan,India,28.0167,73.3,19800,2024-09-20 08:52:24,00:55,13:06,36.0,37.7,37.7,978.0,36,18.6,9,0,16,3.2,30,N/A,Clear sky,33.8,26.0,4,42.2,61.81,163.08,514.03
Alwar,Rajasthan,India,27.5667,76.6,19800,2024-09-20 08:52:24,00:44,12:55,30.1,32.7,32.7,960.0,59,21.0,8,0,16,1.4,95,N/A,Haze,31.1,23.4,3,38.85,42.35,120.16,514.03
Bharatpur,Rajasthan,India,27.2167,77.4833,19800,2024-09-20 08:52:25,00:39,12:50,32.4,35.8,35.8,981.0,53,21.4,9,0,16,1.4,205,N/A,Clear sky,31.5,23.8,3,47.06,50.75,127.32,554.09
Sikar,Rajasthan,India,27.6167,75.15,19800,2024-09-20 08:50:42,00:44,12:55,31.1,33.1,33.1,956.0,52,20.1,9,0,16,0.9,324,N/A,Haze,30.8,23.0,3,33.38,36.38,121.59,534.06
Pali,Rajasthan,India,25.7667,73.3333,19800,2024-09-20 08:52:25,00:55,13:06,34.2,36.8,36.8,982.0,44,20.0,9,0,16,2.1,314,N/A,Clear sky,32.8,25.7,3,27.44,41.47,125.89,400.54
Churu,Rajasthan,India,28.3,74.95,19800,2024-09-20 08:52:26,00:44,12:55,32.6,34.6,34.6,970.0,47,19.6,9,0,16,4.4,80,N/A,Haze,31.4,24.9,4,64.06,72.52,150.2,614.17
Hanumangarh,Rajasthan,India,29.5833,74.3167,19800,2024-09-20 08:52:26,00:49,13:01,36.4,38.5,38.5,983.0,36,18.8,8,0,16,3.9,71,N/A,Clear sky,32.9,26.5,3,26.12,27.5,131.61,423.91
Jhunjhunu,Rajasthan,India,28.1288,75.3993,19800,2024-09-20 08:52:26,00:44,12:55,30.8,33.0,33.0,964.0,54,20.2,9,0,16,3.6,55,N/A,Haze,31.3,23.7,3,34.62,38.44,128.75,554.09
Nagaur,Rajasthan,India,27.2,73.7333,19800,2024-09-20 08:52:27,00:55,13:06,33.1,34.7,34.7,969.0,44,19.0,9,0,16,3.0,34,N/A,Clear sky,32.3,24.3,3,29.8,41.96,135.9,520.71
Sawai Madhopur,Rajasthan,India,25.9833,76.3667,19800,2024-09-20 08:52:27,00:44,12:55,31.8,34.4,34.4,972.0,52,20.7,9,0,16,1.7,235,N/A,Haze,32.1,23.8,3,30.86,70.91,110.15,270.37
Dausa,Rajasthan,India,26.8833,76.3333,19800,2024-09-20 08:52:27,00:44,12:55,30.8,33.4,33.4,957.0,56,20.8,9,0,16,1.5,336,N/A,Haze,31.3,23.5,3,41.48,62.45,127.32,420.57
Barmer,Rajasthan,India,25.75,71.3833,19800,2024-09-20 08:52:28,00:55,13:06,37.5,37.6,37.6,978.0,27,15.1,9,0,16,3.7,348,N/A,Clear sky,36.6,28.3,3,31.05,72.03,124.45,310.42
Banswara,Rajasthan,India,23.55,74.45,19800,2024-09-20 08:52:28,00:52,13:02,32.2,37.1,37.1,982.0,59,23.0,9,0,16,5.0,266,N/A,Clear sky,31.5,25.3,3,24.74,53.41,101.57,243.66
Jaisalmer,Rajasthan,India,26.9147,70.9181,19800,2024-09-20 08:52:28,00:55,13:06,38.2,37.6,37.6,980.0,23,13.5,9,0,16,2.2,360,N/A,Clear sky,38.0,27.7,3,31.95,66.63,130.18,340.46
Rajsamand,Rajasthan,India,25.0667,73.8833,19800,2024-09-20 08:52:28,00:52,13:02,29.3,31.0,31.0,930.0,57,19.7,9,0,16,3.8,309,N/A,Clear sky,31.8,23.4,3,25.24,39.04,107.29,360.49
Tonk,Rajasthan,India,26.1667,75.7833,19800,2024-09-20 08:52:29,00:44,12:55,31.7,34.7,34.7,968.0,54,21.0,9,0,16,1.3,257,N/A,Haze,32.3,24.0,3,41.96,90.78,104.43,293.73
Jhalawar,Rajasthan,India,24.6,76.15,19800,2024-09-20 08:52:29,00:45,12:55,31.5,34.8,34.8,964.0,56,21.7,9,0,16,3.9,250,N/A,Clear sky,32.6,24.7,3,27.89,62.43,92.98,277.04
Karauli,Rajasthan,India,26.5,77.0167,19800,2024-09-20 08:52:29,00:44,12:55,31.1,34.0,34.0,974.0,56,21.3,9,0,16,1.1,249,N/A,Haze,30.4,23.8,3,41.1,62.04,127.32,407.22
Sri Ganganagar,Rajasthan,India,29.9271,73.8762,19800,2024-09-20 08:52:30,00:49,13:01,36.7,37.5,37.5,983.0,31,16.9,8,0,16,2.5,91,N/A,Clear sky,33.4,26.1,3,17.92,19.45,127.32,387.19
Gangtok,Sikkim,India,27.3333,88.6167,19800,2024-09-20 08:49:10,23:50,12:01,11.4,11.4,11.4,658.0,97,10.8,2,98,0,2.9,165,N/A,Drizzle,27.7,21.2,2,8.11,8.73,69.38,327.11
Mangan,Sikkim,India,27.5167,88.5333,19800,2024-09-20 08:52:30,23:50,12:01,24.4,24.7,24.7,827.0,72,19.0,5,52,16,1.7,126,N/A,Scattered clouds,27.7,21.2,2,5.25,5.67,70.1,260.35
Namchi,Sikkim,India,27.1667,88.35,19800,2024-09-20 08:52:31,23:50,12:01,24.4,24.7,24.7,827.0,72,19.0,2,98,16,1.7,126,N/A,Light rain,31.3,20.9,3,17.32,18.56,108.72,403.88
Rangpo,Sikkim,India,27.1833,88.5333,19800,2024-09-20 08:52:31,23:50,12:01,27.9,29.5,29.5,862.0,63,20.1,2,100,16,2.4,163,N/A,Moderate rain,25.5,20.6,3,20.15,21.56,120.16,473.98
Singtam,Sikkim,India,27.2333,88.5,19800,2024-09-20 08:52:31,23:50,12:01,27.9,29.5,29.5,862.0,63,20.1,2,100,16,2.4,163,N/A,Light rain,25.5,20.6,4,25.52,29.31,144.48,500.68
Jorethang,Sikkim,India,27.107,88.3233,19800,2024-09-20 08:52:32,23:50,12:01,33.7,39.0,39.0,958.0,54,22.9,2,96,16,1.6,198,N/A,Drizzle,28.7,21.9,3,17.32,18.56,108.72,403.88
Pakyong,Sikkim,India,27.242,88.5951,19800,2024-09-20 08:52:32,23:50,12:01,24.4,24.7,24.7,827.0,72,19.0,2,99,16,1.7,126,N/A,Light rain,27.7,21.2,4,25.52,29.31,144.48,500.68
Ravangla,Sikkim,India,27.3051,88.3645,19800,2024-09-20 08:52:32,23:50,12:01,23.1,23.6,23.6,817.0,82,19.7,2,98,16,1.7,207,N/A,Drizzle,31.5,22.4,2,7.09,7.66,69.38,280.38
Yuksom,Sikkim,India,27.3692,88.2185,19800,2024-09-20 08:52:33,23:50,12:01,11.4,11.4,11.4,658.0,97,10.8,3,88,0,2.9,165,N/A,Broken clouds,28.7,21.3,2,7.09,7.66,69.38,280.38
Soreng,Sikkim,India,49.9549,1.5853,7200,2024-09-20 08:52:33,05:37,17:54,16.3,16.3,16.3,1005.0,84,13.6,2,0,16,3.4,77,N/A,Clear sky,21.7,13.1,2,14.09,15.77,46.49,283.72
Melli,Sikkim,India,61.7435,24.4596,10800,2024-09-20 08:52:33,04:04,16:28,16.2,16.2,16.2,1013.0,75,11.8,3,0,16,2.6,290,N/A,Clear sky,17.2,9.8,1,1.5,1.8,50.78,206.95
Chungthang,Sikkim,India,27.6042,88.6468,19800,2024-09-20 08:52:34,23:50,12:01,11.4,11.4,11.4,658.0,97,10.8,7,0,0,2.9,165,N/A,Clear sky,23.8,16.9,1,3.04,4.58,54.36,206.95
Rangpo,Sikkim,India,27.1833,88.5333,19800,2024-09-20 08:52:31,23:50,12:01,27.9,29.5,29.5,862.0,63,20.1,2,100,16,2.4,163,N/A,Moderate rain,25.5,20.6,3,20.15,21.56,120.16,473.98
Pelling,Sikkim,India,27.3004,88.2357,19800,2024-09-20 08:52:34,23:50,12:01,23.1,23.6,23.6,817.0,82,19.7,2,97,16,1.7,207,N/A,Drizzle,28.7,21.3,2,7.09,7.66,69.38,280.38
